query,K,precision,recall,DCG,nDCG
COVID-19 pandemic response and lockdown measures,10,1.0,0.30303,10.087119,1.0
COVID-19 pandemic response and lockdown measures,20,0.95,0.575758,14.801594,0.981503
COVID-19 pandemic response and lockdown measures,30,0.766667,0.69697,17.556379,0.908567
COVID-19 pandemic response and lockdown measures,40,0.75,0.909091,20.833671,0.953599
COVID-19 pandemic response and lockdown measures,50,0.66,1.0,23.181164,0.987364
2020 US presidential election and voter turnout,10,1.0,0.217391,13.630678,1.0
2020 US presidential election and voter turnout,20,1.0,0.434783,20.128096,0.952999
2020 US presidential election and voter turnout,30,0.966667,0.630435,25.232552,0.918057
2020 US presidential election and voter turnout,40,0.95,0.826087,29.671777,0.94666
2020 US presidential election and voter turnout,50,0.92,1.0,33.830701,0.987861
Black Lives Matter protests and racial justice,10,1.0,0.243902,12.324643,0.904184
Black Lives Matter protests and racial justice,20,1.0,0.487805,18.337425,0.868216
Black Lives Matter protests and racial justice,30,0.966667,0.707317,23.201619,0.90675
Black Lives Matter protests and racial justice,40,0.85,0.829268,26.873907,0.912633
Black Lives Matter protests and racial justice,50,0.82,1.0,30.487788,0.969753
Brexit negotiations and the UK leaving the EU,10,1.0,0.2,11.866847,0.870598
Brexit negotiations and the UK leaving the EU,20,1.0,0.4,17.586293,0.841726
Brexit negotiations and the UK leaving the EU,30,1.0,0.6,23.108331,0.919341
Brexit negotiations and the UK leaving the EU,40,1.0,0.8,27.548688,0.95013
Brexit negotiations and the UK leaving the EU,50,1.0,1.0,31.52742,0.96686
Trump impeachment trial and Senate acquittal,10,1.0,0.208333,13.243825,0.971619
Trump impeachment trial and Senate acquittal,20,1.0,0.416667,19.284794,0.913071
Trump impeachment trial and Senate acquittal,30,1.0,0.625,24.161305,0.920705
Trump impeachment trial and Senate acquittal,40,0.95,0.791667,28.413238,0.943927
Trump impeachment trial and Senate acquittal,50,0.96,1.0,32.746302,0.981574
wildfires in Australia and California 2020,10,1.0,0.285714,11.574256,0.96167
wildfires in Australia and California 2020,20,0.75,0.428571,15.353774,0.901625
wildfires in Australia and California 2020,30,0.7,0.6,18.749095,0.881414
wildfires in Australia and California 2020,40,0.675,0.771429,22.031419,0.910982
wildfires in Australia and California 2020,50,0.7,1.0,25.291344,0.973082
Hong Kong protests and China national security law,10,1.0,0.204082,11.507113,0.844207
Hong Kong protests and China national security law,20,1.0,0.408163,17.49146,0.899955
Hong Kong protests and China national security law,30,1.0,0.612245,21.935934,0.926405
Hong Kong protests and China national security law,40,1.0,0.816327,26.568501,0.964813
Hong Kong protests and China national security law,50,0.98,1.0,29.999813,0.968531
refugee crisis and immigration policy debates,10,1.0,0.30303,9.087119,1.0
refugee crisis and immigration policy debates,20,0.85,0.515152,13.303535,0.944817
refugee crisis and immigration policy debates,30,0.8,0.727273,16.482028,0.899519
refugee crisis and immigration policy debates,40,0.725,0.878788,19.376287,0.929434
refugee crisis and immigration policy debates,50,0.66,1.0,21.90974,0.982471
rise of populism and nationalist movements in Europe,10,1.0,0.30303,9.402584,0.877266
rise of populism and nationalist movements in Europe,20,0.85,0.515152,13.9038,0.884946
rise of populism and nationalist movements in Europe,30,0.733333,0.666667,17.097569,0.856845
rise of populism and nationalist movements in Europe,40,0.725,0.878788,20.378583,0.906587
rise of populism and nationalist movements in Europe,50,0.66,1.0,22.722595,0.942504
United Nations climate summit and global cooperation,10,0.9,0.290323,11.159345,0.876954
United Nations climate summit and global cooperation,20,0.75,0.483871,15.660218,0.883832
United Nations climate summit and global cooperation,30,0.666667,0.645161,18.841555,0.857949
United Nations climate summit and global cooperation,40,0.65,0.83871,21.93169,0.910383
United Nations climate summit and global cooperation,50,0.62,1.0,24.642383,0.951542
artificial intelligence and machine learning breakthroughs,10,0.9,0.1875,12.597941,0.924234
artificial intelligence and machine learning breakthroughs,20,0.95,0.395833,18.84827,0.892403
artificial intelligence and machine learning breakthroughs,30,0.933333,0.583333,23.944707,0.884251
artificial intelligence and machine learning breakthroughs,40,0.95,0.791667,28.772052,0.929991
artificial intelligence and machine learning breakthroughs,50,0.96,1.0,33.289508,0.973436
mRNA vaccines and the future of medicine,10,0.8,0.258065,9.326542,0.684232
mRNA vaccines and the future of medicine,20,0.8,0.516129,14.862499,0.764692
mRNA vaccines and the future of medicine,30,0.7,0.677419,18.680741,0.788931
mRNA vaccines and the future of medicine,40,0.675,0.870968,22.145263,0.858077
mRNA vaccines and the future of medicine,50,0.62,1.0,24.318478,0.903896
climate change policy and the Paris Agreement,10,1.0,0.212766,13.274471,0.973867
climate change policy and the Paris Agreement,20,1.0,0.425532,19.532849,0.924816
climate change policy and the Paris Agreement,30,0.966667,0.617021,24.230079,0.894789
climate change policy and the Paris Agreement,40,0.95,0.808511,29.058086,0.939236
climate change policy and the Paris Agreement,50,0.94,1.0,33.216026,0.981459
SpaceX Falcon 9 and commercial space travel,10,1.0,0.232558,13.630678,1.0
SpaceX Falcon 9 and commercial space travel,20,0.95,0.44186,20.396095,0.965687
SpaceX Falcon 9 and commercial space travel,30,0.933333,0.651163,25.285084,0.919968
SpaceX Falcon 9 and commercial space travel,40,0.9,0.837209,29.913602,0.930919
SpaceX Falcon 9 and commercial space travel,50,0.86,1.0,34.068248,0.987685
