search_type,K,avg_precision,avg_recall,avg_DCG,avg_nDCG
hybrid,5,0.7,0.278952,5.663001,0.701062
hybrid,10,0.675,0.508866,8.468892,0.744507
hybrid,15,0.65,0.703121,10.565161,0.779377
hybrid,20,0.6225,0.9,12.274139,0.817643
lexical,5,0.63,0.293513,5.331607,0.660214
lexical,10,0.605,0.521893,7.669458,0.662001
lexical,15,0.55,0.702589,9.497653,0.692494
lexical,20,0.5525,0.9,11.204603,0.733082
vector,5,0.72,0.27537,5.634687,0.692762
vector,10,0.66,0.475778,8.302743,0.725558
vector,15,0.633333,0.682498,10.289381,0.763865
vector,20,0.63,0.95,12.191173,0.822193
