query,rank,precision,recall
COVID-19 pandemic response and lockdown measures,1,0.0,0.0
COVID-19 pandemic response and lockdown measures,2,0.5,0.125
COVID-19 pandemic response and lockdown measures,3,0.5,0.125
COVID-19 pandemic response and lockdown measures,4,0.333333,0.125
COVID-19 pandemic response and lockdown measures,5,0.25,0.125
COVID-19 pandemic response and lockdown measures,6,0.25,0.125
COVID-19 pandemic response and lockdown measures,7,0.4,0.25
COVID-19 pandemic response and lockdown measures,8,0.333333,0.25
COVID-19 pandemic response and lockdown measures,9,0.428571,0.375
COVID-19 pandemic response and lockdown measures,10,0.375,0.375
COVID-19 pandemic response and lockdown measures,11,0.444444,0.5
COVID-19 pandemic response and lockdown measures,12,0.4,0.5
COVID-19 pandemic response and lockdown measures,13,0.363636,0.5
COVID-19 pandemic response and lockdown measures,14,0.416667,0.625
COVID-19 pandemic response and lockdown measures,15,0.384615,0.625
COVID-19 pandemic response and lockdown measures,16,0.357143,0.625
COVID-19 pandemic response and lockdown measures,17,0.333333,0.625
COVID-19 pandemic response and lockdown measures,18,0.375,0.75
COVID-19 pandemic response and lockdown measures,19,0.411765,0.875
COVID-19 pandemic response and lockdown measures,20,0.411765,0.875
2020 US presidential election and voter turnout,1,1.0,0.083333
2020 US presidential election and voter turnout,2,1.0,0.166667
2020 US presidential election and voter turnout,3,1.0,0.25
2020 US presidential election and voter turnout,4,1.0,0.333333
2020 US presidential election and voter turnout,5,1.0,0.416667
2020 US presidential election and voter turnout,6,1.0,0.5
2020 US presidential election and voter turnout,7,1.0,0.5
2020 US presidential election and voter turnout,8,1.0,0.583333
2020 US presidential election and voter turnout,9,1.0,0.583333
2020 US presidential election and voter turnout,10,1.0,0.666667
2020 US presidential election and voter turnout,11,1.0,0.75
2020 US presidential election and voter turnout,12,1.0,0.75
2020 US presidential election and voter turnout,13,1.0,0.833333
2020 US presidential election and voter turnout,14,1.0,0.916667
2020 US presidential election and voter turnout,15,1.0,0.916667
2020 US presidential election and voter turnout,16,1.0,1.0
2020 US presidential election and voter turnout,17,0.923077,1.0
2020 US presidential election and voter turnout,18,0.857143,1.0
2020 US presidential election and voter turnout,19,0.857143,1.0
Black Lives Matter protests and racial justice,1,1.0,0.066667
Black Lives Matter protests and racial justice,2,1.0,0.133333
Black Lives Matter protests and racial justice,3,1.0,0.2
Black Lives Matter protests and racial justice,4,1.0,0.266667
Black Lives Matter protests and racial justice,5,1.0,0.333333
Black Lives Matter protests and racial justice,6,1.0,0.4
Black Lives Matter protests and racial justice,7,1.0,0.466667
Black Lives Matter protests and racial justice,8,1.0,0.533333
Black Lives Matter protests and racial justice,9,1.0,0.6
Black Lives Matter protests and racial justice,10,0.9,0.6
Black Lives Matter protests and racial justice,11,0.909091,0.666667
Black Lives Matter protests and racial justice,12,0.833333,0.666667
Black Lives Matter protests and racial justice,13,0.846154,0.733333
Black Lives Matter protests and racial justice,14,0.785714,0.733333
Black Lives Matter protests and racial justice,15,0.8,0.8
Black Lives Matter protests and racial justice,16,0.8125,0.866667
Black Lives Matter protests and racial justice,17,0.823529,0.933333
Black Lives Matter protests and racial justice,18,0.833333,1.0
Trump impeachment trial and Senate acquittal,1,0.0,0.0
Trump impeachment trial and Senate acquittal,2,0.5,0.076923
Trump impeachment trial and Senate acquittal,3,0.333333,0.076923
Trump impeachment trial and Senate acquittal,4,0.25,0.076923
Trump impeachment trial and Senate acquittal,5,0.2,0.076923
Trump impeachment trial and Senate acquittal,6,0.166667,0.076923
Trump impeachment trial and Senate acquittal,7,0.285714,0.153846
Trump impeachment trial and Senate acquittal,8,0.375,0.230769
Trump impeachment trial and Senate acquittal,9,0.444444,0.307692
Trump impeachment trial and Senate acquittal,10,0.5,0.384615
Trump impeachment trial and Senate acquittal,11,0.5,0.384615
Trump impeachment trial and Senate acquittal,12,0.545455,0.461538
Trump impeachment trial and Senate acquittal,13,0.583333,0.538462
Trump impeachment trial and Senate acquittal,14,0.538462,0.538462
Trump impeachment trial and Senate acquittal,15,0.571429,0.615385
Trump impeachment trial and Senate acquittal,16,0.6,0.692308
Trump impeachment trial and Senate acquittal,17,0.625,0.769231
Trump impeachment trial and Senate acquittal,18,0.647059,0.846154
Trump impeachment trial and Senate acquittal,19,0.666667,0.923077
Hong Kong protests and China national security law,1,1.0,0.076923
Hong Kong protests and China national security law,2,1.0,0.153846
Hong Kong protests and China national security law,3,1.0,0.230769
Hong Kong protests and China national security law,4,1.0,0.307692
Hong Kong protests and China national security law,5,1.0,0.384615
Hong Kong protests and China national security law,6,0.833333,0.384615
Hong Kong protests and China national security law,7,0.857143,0.461538
Hong Kong protests and China national security law,8,0.875,0.538462
Hong Kong protests and China national security law,9,0.888889,0.615385
Hong Kong protests and China national security law,10,0.8,0.615385
Hong Kong protests and China national security law,11,0.818182,0.692308
Hong Kong protests and China national security law,12,0.75,0.692308
Hong Kong protests and China national security law,13,0.769231,0.769231
Hong Kong protests and China national security law,14,0.714286,0.769231
Hong Kong protests and China national security law,15,0.733333,0.846154
Hong Kong protests and China national security law,16,0.75,0.923077
Hong Kong protests and China national security law,17,0.705882,0.923077
Hong Kong protests and China national security law,18,0.722222,1.0
Hong Kong protests and China national security law,19,0.684211,1.0
Brexit negotiations and the UK leaving the EU,1,1.0,0.066667
Brexit negotiations and the UK leaving the EU,2,1.0,0.133333
Brexit negotiations and the UK leaving the EU,3,1.0,0.2
Brexit negotiations and the UK leaving the EU,4,0.75,0.2
Brexit negotiations and the UK leaving the EU,5,0.8,0.266667
