query,K,highlight_precision,highlight_recall,highlight_f1,avg_quality,n_evaluated
COVID-19 pandemic response and lockdown measures,10,0.8,0.275862,0.410256,1.9,50
COVID-19 pandemic response and lockdown measures,20,0.75,0.517241,0.612245,2.0,50
COVID-19 pandemic response and lockdown measures,30,0.655172,0.655172,0.655172,1.7,50
COVID-19 pandemic response and lockdown measures,40,0.657895,0.862069,0.746269,1.7,50
COVID-19 pandemic response and lockdown measures,50,0.644444,1.0,0.783784,1.6,50
2020 US presidential election and voter turnout,10,0.7,0.259259,0.378378,1.7,50
2020 US presidential election and voter turnout,20,0.7,0.518519,0.595745,1.6,50
2020 US presidential election and voter turnout,30,0.566667,0.62963,0.596491,1.466667,50
2020 US presidential election and voter turnout,40,0.589744,0.851852,0.69697,1.5,50
2020 US presidential election and voter turnout,50,0.55102,1.0,0.710526,1.44,50
Black Lives Matter protests and racial justice,10,0.9,0.375,0.529412,2.4,50
Black Lives Matter protests and racial justice,20,0.8,0.666667,0.727273,2.3,50
Black Lives Matter protests and racial justice,30,0.633333,0.791667,0.703704,1.933333,50
Black Lives Matter protests and racial justice,40,0.525,0.875,0.65625,1.575,50
Black Lives Matter protests and racial justice,50,0.48,1.0,0.648649,1.48,50
Brexit negotiations and the UK leaving the EU,10,0.9,0.204545,0.333333,2.2,50
Brexit negotiations and the UK leaving the EU,20,0.9,0.409091,0.5625,2.25,50
Brexit negotiations and the UK leaving the EU,30,0.866667,0.590909,0.702703,2.166667,50
Brexit negotiations and the UK leaving the EU,40,0.9,0.818182,0.857143,2.275,50
Brexit negotiations and the UK leaving the EU,50,0.88,1.0,0.93617,2.26,50
Trump impeachment trial and Senate acquittal,10,1.0,0.204082,0.338983,2.9,50
Trump impeachment trial and Senate acquittal,20,1.0,0.408163,0.57971,2.9,50
Trump impeachment trial and Senate acquittal,30,1.0,0.612245,0.759494,2.866667,50
Trump impeachment trial and Senate acquittal,40,0.975,0.795918,0.876404,2.8,50
Trump impeachment trial and Senate acquittal,50,0.98,1.0,0.989899,2.82,50
wildfires in Australia and California 2020,10,0.8,0.266667,0.4,2.2,50
wildfires in Australia and California 2020,20,0.85,0.566667,0.68,2.15,50
wildfires in Australia and California 2020,30,0.733333,0.733333,0.733333,1.933333,50
wildfires in Australia and California 2020,40,0.625,0.833333,0.714286,1.775,50
wildfires in Australia and California 2020,50,0.6,1.0,0.75,1.72,50
Hong Kong protests and China national security law,10,1.0,0.222222,0.363636,2.9,50
Hong Kong protests and China national security law,20,1.0,0.444444,0.615385,2.6,50
Hong Kong protests and China national security law,30,0.933333,0.622222,0.746667,2.466667,50
Hong Kong protests and China national security law,40,0.95,0.844444,0.894118,2.475,50
Hong Kong protests and China national security law,50,0.9,1.0,0.947368,2.36,50
refugee crisis and immigration policy debates,10,1.0,0.227273,0.37037,2.4,50
refugee crisis and immigration policy debates,20,1.0,0.454545,0.625,2.55,50
refugee crisis and immigration policy debates,30,0.933333,0.636364,0.756757,2.433333,50
refugee crisis and immigration policy debates,40,0.9,0.818182,0.857143,2.35,50
refugee crisis and immigration policy debates,50,0.88,1.0,0.93617,2.28,50
rise of populism and nationalist movements in Europe,10,0.9,0.264706,0.409091,2.3,50
rise of populism and nationalist movements in Europe,20,0.8,0.470588,0.592593,2.05,50
rise of populism and nationalist movements in Europe,30,0.666667,0.588235,0.625,1.766667,50
rise of populism and nationalist movements in Europe,40,0.65,0.764706,0.702703,1.825,50
rise of populism and nationalist movements in Europe,50,0.68,1.0,0.809524,1.86,50
United Nations climate summit and global cooperation,10,0.3,0.5,0.375,1.1,50
United Nations climate summit and global cooperation,20,0.15,0.5,0.230769,0.7,50
United Nations climate summit and global cooperation,30,0.133333,0.666667,0.222222,0.666667,50
United Nations climate summit and global cooperation,40,0.125,0.833333,0.217391,0.6,50
United Nations climate summit and global cooperation,50,0.12,1.0,0.214286,0.58,50
artificial intelligence and machine learning breakthroughs,10,0.9,0.219512,0.352941,2.6,50
artificial intelligence and machine learning breakthroughs,20,0.95,0.463415,0.622951,2.6,50
artificial intelligence and machine learning breakthroughs,30,0.866667,0.634146,0.732394,2.466667,50
artificial intelligence and machine learning breakthroughs,40,0.8,0.780488,0.790123,2.3,50
artificial intelligence and machine learning breakthroughs,50,0.82,1.0,0.901099,2.38,50
mRNA vaccines and the future of medicine,10,0.3,0.2,0.24,1.2,50
mRNA vaccines and the future of medicine,20,0.3,0.4,0.342857,1.25,50
mRNA vaccines and the future of medicine,30,0.366667,0.733333,0.488889,1.366667,50
mRNA vaccines and the future of medicine,40,0.325,0.866667,0.472727,1.275,50
mRNA vaccines and the future of medicine,50,0.3,1.0,0.461538,1.22,50
climate change policy and the Paris Agreement,10,1.0,0.263158,0.416667,2.5,50
climate change policy and the Paris Agreement,20,0.85,0.447368,0.586207,2.1,50
climate change policy and the Paris Agreement,30,0.833333,0.657895,0.735294,2.033333,50
climate change policy and the Paris Agreement,40,0.8,0.842105,0.820513,2.05,50
climate change policy and the Paris Agreement,50,0.76,1.0,0.863636,2.02,50
SpaceX Falcon 9 and commercial space travel,10,0.9,0.236842,0.375,2.3,50
SpaceX Falcon 9 and commercial space travel,20,0.9,0.473684,0.62069,2.15,50
SpaceX Falcon 9 and commercial space travel,30,0.833333,0.657895,0.735294,2.033333,50
SpaceX Falcon 9 and commercial space travel,40,0.769231,0.789474,0.779221,1.925,50
SpaceX Falcon 9 and commercial space travel,50,0.77551,1.0,0.873563,1.94,50
5G technology rollout and conspiracy theories,10,0.777778,0.259259,0.388889,1.7,50
5G technology rollout and conspiracy theories,20,0.684211,0.481481,0.565217,1.65,50
5G technology rollout and conspiracy theories,30,0.62069,0.666667,0.642857,1.633333,50
5G technology rollout and conspiracy theories,40,0.594595,0.814815,0.6875,1.525,50
5G technology rollout and conspiracy theories,50,0.574468,1.0,0.72973,1.58,50
CRISPR gene editing and biotech innovation,10,1.0,0.25,0.4,2.7,50
CRISPR gene editing and biotech innovation,20,0.9,0.45,0.6,2.55,50
CRISPR gene editing and biotech innovation,30,0.866667,0.65,0.742857,2.5,50
CRISPR gene editing and biotech innovation,40,0.85,0.85,0.85,2.475,50
CRISPR gene editing and biotech innovation,50,0.8,1.0,0.888889,2.3,50
quantum computing and its practical applications,10,1.0,0.204082,0.338983,2.9,50
quantum computing and its practical applications,20,1.0,0.408163,0.57971,2.95,50
quantum computing and its practical applications,30,1.0,0.612245,0.759494,2.966667,50
quantum computing and its practical applications,40,1.0,0.816327,0.898876,2.925,50
quantum computing and its practical applications,50,0.98,1.0,0.989899,2.82,50
deepfake technology and synthetic media risks,10,0.0,0.0,0.0,0.1,50
