query,rank,precision,recall
COVID-19 pandemic response and lockdown measures,1,1.0,0.125
COVID-19 pandemic response and lockdown measures,2,1.0,0.25
COVID-19 pandemic response and lockdown measures,3,0.666667,0.25
COVID-19 pandemic response and lockdown measures,4,0.75,0.375
COVID-19 pandemic response and lockdown measures,5,0.8,0.5
COVID-19 pandemic response and lockdown measures,6,0.666667,0.5
COVID-19 pandemic response and lockdown measures,7,0.571429,0.5
COVID-19 pandemic response and lockdown measures,8,0.5,0.5
COVID-19 pandemic response and lockdown measures,9,0.555556,0.625
COVID-19 pandemic response and lockdown measures,10,0.5,0.625
COVID-19 pandemic response and lockdown measures,11,0.545455,0.75
COVID-19 pandemic response and lockdown measures,12,0.5,0.75
COVID-19 pandemic response and lockdown measures,13,0.538462,0.875
COVID-19 pandemic response and lockdown measures,14,0.5,0.875
COVID-19 pandemic response and lockdown measures,15,0.466667,0.875
COVID-19 pandemic response and lockdown measures,16,0.5,1.0
COVID-19 pandemic response and lockdown measures,17,0.470588,1.0
COVID-19 pandemic response and lockdown measures,18,0.444444,1.0
COVID-19 pandemic response and lockdown measures,19,0.421053,1.0
COVID-19 pandemic response and lockdown measures,20,0.4,1.0
2020 US presidential election and voter turnout,1,1.0,0.142857
2020 US presidential election and voter turnout,2,0.5,0.142857
2020 US presidential election and voter turnout,3,0.666667,0.285714
2020 US presidential election and voter turnout,4,0.75,0.428571
2020 US presidential election and voter turnout,5,0.6,0.428571
2020 US presidential election and voter turnout,6,0.666667,0.571429
2020 US presidential election and voter turnout,7,0.571429,0.571429
2020 US presidential election and voter turnout,8,0.5,0.571429
2020 US presidential election and voter turnout,9,0.444444,0.571429
2020 US presidential election and voter turnout,10,0.5,0.714286
2020 US presidential election and voter turnout,11,0.545455,0.857143
2020 US presidential election and voter turnout,12,0.5,0.857143
2020 US presidential election and voter turnout,13,0.461538,0.857143
2020 US presidential election and voter turnout,14,0.428571,0.857143
2020 US presidential election and voter turnout,15,0.4,0.857143
2020 US presidential election and voter turnout,16,0.4375,1.0
2020 US presidential election and voter turnout,17,0.411765,1.0
2020 US presidential election and voter turnout,18,0.388889,1.0
2020 US presidential election and voter turnout,19,0.368421,1.0
2020 US presidential election and voter turnout,20,0.35,1.0
Black Lives Matter protests and racial justice,1,1.0,0.055556
Black Lives Matter protests and racial justice,2,1.0,0.111111
Black Lives Matter protests and racial justice,3,1.0,0.166667
Black Lives Matter protests and racial justice,4,1.0,0.222222
Black Lives Matter protests and racial justice,5,0.8,0.222222
Black Lives Matter protests and racial justice,6,0.833333,0.277778
Black Lives Matter protests and racial justice,7,0.857143,0.333333
Black Lives Matter protests and racial justice,8,0.875,0.388889
Black Lives Matter protests and racial justice,9,0.888889,0.444444
Black Lives Matter protests and racial justice,10,0.9,0.5
Black Lives Matter protests and racial justice,11,0.909091,0.555556
Black Lives Matter protests and racial justice,12,0.916667,0.611111
Black Lives Matter protests and racial justice,13,0.923077,0.666667
Black Lives Matter protests and racial justice,14,0.928571,0.722222
Black Lives Matter protests and racial justice,15,0.933333,0.777778
Black Lives Matter protests and racial justice,16,0.9375,0.833333
Black Lives Matter protests and racial justice,17,0.941176,0.888889
Black Lives Matter protests and racial justice,18,0.944444,0.944444
Black Lives Matter protests and racial justice,19,0.947368,1.0
Black Lives Matter protests and racial justice,20,0.9,1.0
Trump impeachment trial and Senate acquittal,1,0.0,0.0
Trump impeachment trial and Senate acquittal,2,0.5,0.083333
Trump impeachment trial and Senate acquittal,3,0.666667,0.166667
Trump impeachment trial and Senate acquittal,4,0.75,0.25
Trump impeachment trial and Senate acquittal,5,0.8,0.333333
Trump impeachment trial and Senate acquittal,6,0.833333,0.416667
Trump impeachment trial and Senate acquittal,7,0.714286,0.416667
Trump impeachment trial and Senate acquittal,8,0.75,0.5
Trump impeachment trial and Senate acquittal,9,0.777778,0.583333
Trump impeachment trial and Senate acquittal,10,0.8,0.666667
Trump impeachment trial and Senate acquittal,11,0.727273,0.666667
Trump impeachment trial and Senate acquittal,12,0.666667,0.666667
Trump impeachment trial and Senate acquittal,13,0.692308,0.75
Trump impeachment trial and Senate acquittal,14,0.642857,0.75
Trump impeachment trial and Senate acquittal,15,0.666667,0.833333
Trump impeachment trial and Senate acquittal,16,0.625,0.833333
Trump impeachment trial and Senate acquittal,17,0.588235,0.833333
Trump impeachment trial and Senate acquittal,18,0.555556,0.833333
Trump impeachment trial and Senate acquittal,19,0.578947,0.916667
Trump impeachment trial and Senate acquittal,20,0.6,1.0
wildfires in Australia and California 2020,1,0.0,0.0
wildfires in Australia and California 2020,2,0.5,0.0625
wildfires in Australia and California 2020,3,0.666667,0.125
wildfires in Australia and California 2020,4,0.75,0.1875
wildfires in Australia and California 2020,5,0.8,0.25
wildfires in Australia and California 2020,6,0.833333,0.3125
wildfires in Australia and California 2020,7,0.857143,0.375
wildfires in Australia and California 2020,8,0.75,0.375
wildfires in Australia and California 2020,9,0.777778,0.4375
wildfires in Australia and California 2020,10,0.8,0.5
wildfires in Australia and California 2020,11,0.818182,0.5625
wildfires in Australia and California 2020,12,0.833333,0.625
wildfires in Australia and California 2020,13,0.846154,0.6875
wildfires in Australia and California 2020,14,0.785714,0.6875
wildfires in Australia and California 2020,15,0.733333,0.6875
wildfires in Australia and California 2020,16,0.75,0.75
wildfires in Australia and California 2020,17,0.764706,0.8125
wildfires in Australia and California 2020,18,0.777778,0.875
wildfires in Australia and California 2020,19,0.789474,0.9375
wildfires in Australia and California 2020,20,0.8,1.0
Hong Kong protests and China national security law,1,1.0,0.058824
Hong Kong protests and China national security law,2,1.0,0.117647
Hong Kong protests and China national security law,3,0.666667,0.117647
Hong Kong protests and China national security law,4,0.75,0.176471
Hong Kong protests and China national security law,5,0.6,0.176471
Hong Kong protests and China national security law,6,0.666667,0.235294
Hong Kong protests and China national security law,7,0.714286,0.294118
Hong Kong protests and China national security law,8,0.75,0.352941
Hong Kong protests and China national security law,9,0.777778,0.411765
Hong Kong protests and China national security law,10,0.8,0.470588
Hong Kong protests and China national security law,11,0.818182,0.529412
Hong Kong protests and China national security law,12,0.833333,0.588235
Hong Kong protests and China national security law,13,0.846154,0.647059
Hong Kong protests and China national security law,14,0.857143,0.705882
Hong Kong protests and China national security law,15,0.866667,0.764706
Hong Kong protests and China national security law,16,0.875,0.823529
Hong Kong protests and China national security law,17,0.882353,0.882353
Hong Kong protests and China national security law,18,0.888889,0.941176
Hong Kong protests and China national security law,19,0.842105,0.941176
Hong Kong protests and China national security law,20,0.85,1.0
Brexit negotiations and the UK leaving the EU,1,1.0,0.052632
Brexit negotiations and the UK leaving the EU,2,1.0,0.105263
Brexit negotiations and the UK leaving the EU,3,1.0,0.157895
Brexit negotiations and the UK leaving the EU,4,1.0,0.210526
Brexit negotiations and the UK leaving the EU,5,1.0,0.263158
Brexit negotiations and the UK leaving the EU,6,1.0,0.315789
Brexit negotiations and the UK leaving the EU,7,1.0,0.368421
Brexit negotiations and the UK leaving the EU,8,1.0,0.421053
Brexit negotiations and the UK leaving the EU,9,1.0,0.473684
Brexit negotiations and the UK leaving the EU,10,1.0,0.526316
Brexit negotiations and the UK leaving the EU,11,1.0,0.578947
Brexit negotiations and the UK leaving the EU,12,1.0,0.631579
Brexit negotiations and the UK leaving the EU,13,1.0,0.684211
Brexit negotiations and the UK leaving the EU,14,1.0,0.736842
Brexit negotiations and the UK leaving the EU,15,1.0,0.789474
Brexit negotiations and the UK leaving the EU,16,1.0,0.842105
Brexit negotiations and the UK leaving the EU,17,1.0,0.894737
Brexit negotiations and the UK leaving the EU,18,1.0,0.947368
Brexit negotiations and the UK leaving the EU,19,0.947368,0.947368
Brexit negotiations and the UK leaving the EU,20,0.95,1.0
mental health during quarantine and isolation,1,1.0,0.333333
mental health during quarantine and isolation,2,0.5,0.333333
mental health during quarantine and isolation,3,0.333333,0.333333
mental health during quarantine and isolation,4,0.25,0.333333
mental health during quarantine and isolation,5,0.2,0.333333
mental health during quarantine and isolation,6,0.166667,0.333333
mental health during quarantine and isolation,7,0.142857,0.333333
mental health during quarantine and isolation,8,0.125,0.333333
mental health during quarantine and isolation,9,0.111111,0.333333
mental health during quarantine and isolation,10,0.1,0.333333
mental health during quarantine and isolation,11,0.090909,0.333333
mental health during quarantine and isolation,12,0.083333,0.333333
mental health during quarantine and isolation,13,0.076923,0.333333
mental health during quarantine and isolation,14,0.071429,0.333333
mental health during quarantine and isolation,15,0.066667,0.333333
mental health during quarantine and isolation,16,0.0625,0.333333
mental health during quarantine and isolation,17,0.117647,0.666667
mental health during quarantine and isolation,18,0.111111,0.666667
mental health during quarantine and isolation,19,0.157895,1.0
mental health during quarantine and isolation,20,0.15,1.0
remote work and the future of the office,1,1.0,0.05
