query,rank,precision,recall
COVID-19 pandemic response and lockdown measures,1,0.0,0.0
COVID-19 pandemic response and lockdown measures,2,0.0,0.0
COVID-19 pandemic response and lockdown measures,3,0.333333,0.5
COVID-19 pandemic response and lockdown measures,4,0.25,0.5
COVID-19 pandemic response and lockdown measures,5,0.2,0.5
COVID-19 pandemic response and lockdown measures,6,0.166667,0.5
COVID-19 pandemic response and lockdown measures,7,0.142857,0.5
COVID-19 pandemic response and lockdown measures,8,0.125,0.5
COVID-19 pandemic response and lockdown measures,9,0.111111,0.5
COVID-19 pandemic response and lockdown measures,10,0.1,0.5
COVID-19 pandemic response and lockdown measures,11,0.181818,1.0
COVID-19 pandemic response and lockdown measures,12,0.166667,1.0
COVID-19 pandemic response and lockdown measures,13,0.153846,1.0
COVID-19 pandemic response and lockdown measures,14,0.142857,1.0
COVID-19 pandemic response and lockdown measures,15,0.133333,1.0
COVID-19 pandemic response and lockdown measures,16,0.125,1.0
COVID-19 pandemic response and lockdown measures,17,0.117647,1.0
COVID-19 pandemic response and lockdown measures,18,0.111111,1.0
COVID-19 pandemic response and lockdown measures,19,0.105263,1.0
COVID-19 pandemic response and lockdown measures,20,0.1,1.0
2020 US presidential election and voter turnout,1,0.0,0.0
2020 US presidential election and voter turnout,2,0.5,0.2
2020 US presidential election and voter turnout,3,0.666667,0.4
2020 US presidential election and voter turnout,4,0.5,0.4
2020 US presidential election and voter turnout,5,0.4,0.4
2020 US presidential election and voter turnout,6,0.333333,0.4
2020 US presidential election and voter turnout,7,0.285714,0.4
2020 US presidential election and voter turnout,8,0.375,0.6
2020 US presidential election and voter turnout,9,0.333333,0.6
2020 US presidential election and voter turnout,10,0.3,0.6
2020 US presidential election and voter turnout,11,0.272727,0.6
2020 US presidential election and voter turnout,12,0.25,0.6
2020 US presidential election and voter turnout,13,0.230769,0.6
2020 US presidential election and voter turnout,14,0.214286,0.6
2020 US presidential election and voter turnout,15,0.2,0.6
2020 US presidential election and voter turnout,16,0.25,0.8
2020 US presidential election and voter turnout,17,0.235294,0.8
2020 US presidential election and voter turnout,18,0.222222,0.8
2020 US presidential election and voter turnout,19,0.210526,0.8
2020 US presidential election and voter turnout,20,0.25,1.0
Black Lives Matter protests and racial justice,1,1.0,0.076923
Black Lives Matter protests and racial justice,2,1.0,0.153846
Black Lives Matter protests and racial justice,3,1.0,0.230769
Black Lives Matter protests and racial justice,4,1.0,0.307692
Black Lives Matter protests and racial justice,5,1.0,0.384615
Black Lives Matter protests and racial justice,6,1.0,0.461538
Black Lives Matter protests and racial justice,7,1.0,0.538462
Black Lives Matter protests and racial justice,8,1.0,0.615385
Black Lives Matter protests and racial justice,9,0.888889,0.615385
Black Lives Matter protests and racial justice,10,0.9,0.692308
Black Lives Matter protests and racial justice,11,0.818182,0.692308
Black Lives Matter protests and racial justice,12,0.833333,0.769231
Black Lives Matter protests and racial justice,13,0.769231,0.769231
Black Lives Matter protests and racial justice,14,0.785714,0.846154
Black Lives Matter protests and racial justice,15,0.733333,0.846154
Black Lives Matter protests and racial justice,16,0.6875,0.846154
Black Lives Matter protests and racial justice,17,0.647059,0.846154
Black Lives Matter protests and racial justice,18,0.611111,0.846154
Black Lives Matter protests and racial justice,19,0.631579,0.923077
Black Lives Matter protests and racial justice,20,0.65,1.0
Trump impeachment trial and Senate acquittal,1,1.0,0.071429
Trump impeachment trial and Senate acquittal,2,0.5,0.071429
Trump impeachment trial and Senate acquittal,3,0.333333,0.071429
Trump impeachment trial and Senate acquittal,4,0.25,0.071429
Trump impeachment trial and Senate acquittal,5,0.2,0.071429
Trump impeachment trial and Senate acquittal,6,0.333333,0.142857
Trump impeachment trial and Senate acquittal,7,0.428571,0.214286
Trump impeachment trial and Senate acquittal,8,0.5,0.285714
Trump impeachment trial and Senate acquittal,9,0.555556,0.357143
Trump impeachment trial and Senate acquittal,10,0.6,0.428571
Trump impeachment trial and Senate acquittal,11,0.636364,0.5
Trump impeachment trial and Senate acquittal,12,0.666667,0.571429
Trump impeachment trial and Senate acquittal,13,0.692308,0.642857
Trump impeachment trial and Senate acquittal,14,0.642857,0.642857
Trump impeachment trial and Senate acquittal,15,0.666667,0.714286
Trump impeachment trial and Senate acquittal,16,0.6875,0.785714
Trump impeachment trial and Senate acquittal,17,0.705882,0.857143
Trump impeachment trial and Senate acquittal,18,0.666667,0.857143
Trump impeachment trial and Senate acquittal,19,0.684211,0.928571
Trump impeachment trial and Senate acquittal,20,0.7,1.0
wildfires in Australia and California 2020,1,0.0,0.0
wildfires in Australia and California 2020,2,0.5,0.0625
wildfires in Australia and California 2020,3,0.666667,0.125
wildfires in Australia and California 2020,4,0.75,0.1875
wildfires in Australia and California 2020,5,0.8,0.25
wildfires in Australia and California 2020,6,0.833333,0.3125
wildfires in Australia and California 2020,7,0.714286,0.3125
wildfires in Australia and California 2020,8,0.75,0.375
wildfires in Australia and California 2020,9,0.777778,0.4375
