query,K,precision,recall,DCG,nDCG
COVID-19 pandemic response and lockdown measures,5,0.8,0.363636,5.783771,0.720463
COVID-19 pandemic response and lockdown measures,10,0.6,0.545455,8.027669,0.834221
COVID-19 pandemic response and lockdown measures,15,0.533333,0.727273,9.355794,0.855134
COVID-19 pandemic response and lockdown measures,20,0.55,1.0,11.262324,0.929261
2020 US presidential election and voter turnout,5,0.4,0.285714,4.948459,0.616412
2020 US presidential election and voter turnout,10,0.4,0.571429,7.511256,0.706745
2020 US presidential election and voter turnout,15,0.333333,0.714286,9.107988,0.762446
2020 US presidential election and voter turnout,20,0.35,1.0,10.523124,0.801782
Black Lives Matter protests and racial justice,5,1.0,0.357143,8.414701,0.951311
Black Lives Matter protests and racial justice,10,1.0,0.714286,11.893966,0.872588
Black Lives Matter protests and racial justice,15,0.733333,0.785714,13.204166,0.798066
Black Lives Matter protests and racial justice,20,0.7,1.0,15.087593,0.798157
Trump impeachment trial and Senate acquittal,5,0.6,0.230769,5.166495,0.686318
Trump impeachment trial and Senate acquittal,10,0.6,0.461538,7.707897,0.719151
Trump impeachment trial and Senate acquittal,15,0.6,0.692308,9.522939,0.713135
Trump impeachment trial and Senate acquittal,20,0.65,1.0,11.425439,0.77318
wildfires in Australia and California 2020,5,0.6,0.176471,4.466242,0.528017
wildfires in Australia and California 2020,10,0.7,0.411765,7.323109,0.628662
wildfires in Australia and California 2020,15,0.8,0.705882,10.228924,0.716095
wildfires in Australia and California 2020,20,0.85,1.0,12.818143,0.79207
Hong Kong protests and China national security law,5,1.0,0.294118,6.283771,0.911098
Hong Kong protests and China national security law,10,0.9,0.529412,9.485937,0.940401
Hong Kong protests and China national security law,15,0.866667,0.764706,11.851276,0.931507
Hong Kong protests and China national security law,20,0.85,1.0,13.964466,0.986302
Brexit negotiations and the UK leaving the EU,5,1.0,0.25,7.845377,0.886947
Brexit negotiations and the UK leaving the EU,10,1.0,0.5,11.70725,0.85889
Brexit negotiations and the UK leaving the EU,15,1.0,0.75,14.88442,0.885164
Brexit negotiations and the UK leaving the EU,20,1.0,1.0,18.193511,0.948899
mental health during quarantine and isolation,5,0.2,0.333333,2.0,0.307217
mental health during quarantine and isolation,10,0.1,0.333333,2.0,0.246756
