query,rank,precision,recall
COVID-19 pandemic response and lockdown measures,1,0.0,0.0
COVID-19 pandemic response and lockdown measures,2,0.5,0.090909
COVID-19 pandemic response and lockdown measures,3,0.666667,0.181818
COVID-19 pandemic response and lockdown measures,4,0.75,0.272727
COVID-19 pandemic response and lockdown measures,5,0.8,0.363636
COVID-19 pandemic response and lockdown measures,6,0.666667,0.363636
COVID-19 pandemic response and lockdown measures,7,0.714286,0.454545
COVID-19 pandemic response and lockdown measures,8,0.75,0.545455
COVID-19 pandemic response and lockdown measures,9,0.666667,0.545455
COVID-19 pandemic response and lockdown measures,10,0.6,0.545455
COVID-19 pandemic response and lockdown measures,11,0.636364,0.636364
COVID-19 pandemic response and lockdown measures,12,0.583333,0.636364
COVID-19 pandemic response and lockdown measures,13,0.538462,0.636364
COVID-19 pandemic response and lockdown measures,14,0.5,0.636364
COVID-19 pandemic response and lockdown measures,15,0.533333,0.727273
COVID-19 pandemic response and lockdown measures,16,0.5625,0.818182
COVID-19 pandemic response and lockdown measures,17,0.588235,0.909091
COVID-19 pandemic response and lockdown measures,18,0.611111,1.0
COVID-19 pandemic response and lockdown measures,19,0.578947,1.0
COVID-19 pandemic response and lockdown measures,20,0.55,1.0
2020 US presidential election and voter turnout,1,1.0,0.142857
2020 US presidential election and voter turnout,2,0.5,0.142857
2020 US presidential election and voter turnout,3,0.666667,0.285714
2020 US presidential election and voter turnout,4,0.5,0.285714
2020 US presidential election and voter turnout,5,0.4,0.285714
2020 US presidential election and voter turnout,6,0.333333,0.285714
2020 US presidential election and voter turnout,7,0.428571,0.428571
2020 US presidential election and voter turnout,8,0.375,0.428571
2020 US presidential election and voter turnout,9,0.444444,0.571429
2020 US presidential election and voter turnout,10,0.4,0.571429
2020 US presidential election and voter turnout,11,0.454545,0.714286
2020 US presidential election and voter turnout,12,0.416667,0.714286
2020 US presidential election and voter turnout,13,0.384615,0.714286
2020 US presidential election and voter turnout,14,0.357143,0.714286
2020 US presidential election and voter turnout,15,0.333333,0.714286
2020 US presidential election and voter turnout,16,0.375,0.857143
2020 US presidential election and voter turnout,17,0.352941,0.857143
2020 US presidential election and voter turnout,18,0.333333,0.857143
2020 US presidential election and voter turnout,19,0.368421,1.0
2020 US presidential election and voter turnout,20,0.35,1.0
Black Lives Matter protests and racial justice,1,1.0,0.071429
Black Lives Matter protests and racial justice,2,1.0,0.142857
Black Lives Matter protests and racial justice,3,1.0,0.214286
Black Lives Matter protests and racial justice,4,1.0,0.285714
Black Lives Matter protests and racial justice,5,1.0,0.357143
Black Lives Matter protests and racial justice,6,1.0,0.428571
Black Lives Matter protests and racial justice,7,1.0,0.5
Black Lives Matter protests and racial justice,8,1.0,0.571429
Black Lives Matter protests and racial justice,9,1.0,0.642857
Black Lives Matter protests and racial justice,10,1.0,0.714286
Black Lives Matter protests and racial justice,11,0.909091,0.714286
Black Lives Matter protests and racial justice,12,0.833333,0.714286
Black Lives Matter protests and racial justice,13,0.846154,0.785714
Black Lives Matter protests and racial justice,14,0.785714,0.785714
Black Lives Matter protests and racial justice,15,0.733333,0.785714
Black Lives Matter protests and racial justice,16,0.75,0.857143
Black Lives Matter protests and racial justice,17,0.705882,0.857143
Black Lives Matter protests and racial justice,18,0.666667,0.857143
Black Lives Matter protests and racial justice,19,0.684211,0.928571
Black Lives Matter protests and racial justice,20,0.7,1.0
Trump impeachment trial and Senate acquittal,1,1.0,0.076923
Trump impeachment trial and Senate acquittal,2,1.0,0.153846
Trump impeachment trial and Senate acquittal,3,0.666667,0.153846
Trump impeachment trial and Senate acquittal,4,0.5,0.153846
Trump impeachment trial and Senate acquittal,5,0.6,0.230769
Trump impeachment trial and Senate acquittal,6,0.666667,0.307692
Trump impeachment trial and Senate acquittal,7,0.571429,0.307692
Trump impeachment trial and Senate acquittal,8,0.5,0.307692
Trump impeachment trial and Senate acquittal,9,0.555556,0.384615
Trump impeachment trial and Senate acquittal,10,0.6,0.461538
Trump impeachment trial and Senate acquittal,11,0.545455,0.461538
Trump impeachment trial and Senate acquittal,12,0.583333,0.538462
Trump impeachment trial and Senate acquittal,13,0.538462,0.538462
Trump impeachment trial and Senate acquittal,14,0.571429,0.615385
Trump impeachment trial and Senate acquittal,15,0.6,0.692308
Trump impeachment trial and Senate acquittal,16,0.625,0.769231
Trump impeachment trial and Senate acquittal,17,0.647059,0.846154
Trump impeachment trial and Senate acquittal,18,0.666667,0.923077
Trump impeachment trial and Senate acquittal,19,0.684211,1.0
Trump impeachment trial and Senate acquittal,20,0.65,1.0
wildfires in Australia and California 2020,1,0.0,0.0
wildfires in Australia and California 2020,2,0.5,0.058824
wildfires in Australia and California 2020,3,0.666667,0.117647
wildfires in Australia and California 2020,4,0.5,0.117647
wildfires in Australia and California 2020,5,0.6,0.176471
wildfires in Australia and California 2020,6,0.666667,0.235294
wildfires in Australia and California 2020,7,0.571429,0.235294
wildfires in Australia and California 2020,8,0.625,0.294118
wildfires in Australia and California 2020,9,0.666667,0.352941
wildfires in Australia and California 2020,10,0.7,0.411765
wildfires in Australia and California 2020,11,0.727273,0.470588
wildfires in Australia and California 2020,12,0.75,0.529412
wildfires in Australia and California 2020,13,0.769231,0.588235
wildfires in Australia and California 2020,14,0.785714,0.647059
wildfires in Australia and California 2020,15,0.8,0.705882
wildfires in Australia and California 2020,16,0.8125,0.764706
wildfires in Australia and California 2020,17,0.823529,0.823529
wildfires in Australia and California 2020,18,0.833333,0.882353
wildfires in Australia and California 2020,19,0.842105,0.941176
wildfires in Australia and California 2020,20,0.85,1.0
Hong Kong protests and China national security law,1,1.0,0.058824
Hong Kong protests and China national security law,2,1.0,0.117647
Hong Kong protests and China national security law,3,1.0,0.176471
Hong Kong protests and China national security law,4,1.0,0.235294
Hong Kong protests and China national security law,5,1.0,0.294118
Hong Kong protests and China national security law,6,1.0,0.352941
Hong Kong protests and China national security law,7,1.0,0.411765
Hong Kong protests and China national security law,8,1.0,0.470588
Hong Kong protests and China national security law,9,1.0,0.529412
Hong Kong protests and China national security law,10,0.9,0.529412
Hong Kong protests and China national security law,11,0.909091,0.588235
Hong Kong protests and China national security law,12,0.833333,0.588235
Hong Kong protests and China national security law,13,0.846154,0.647059
Hong Kong protests and China national security law,14,0.857143,0.705882
Hong Kong protests and China national security law,15,0.866667,0.764706
Hong Kong protests and China national security law,16,0.8125,0.764706
Hong Kong protests and China national security law,17,0.823529,0.823529
Hong Kong protests and China national security law,18,0.833333,0.882353
Hong Kong protests and China national security law,19,0.842105,0.941176
Hong Kong protests and China national security law,20,0.85,1.0
Brexit negotiations and the UK leaving the EU,1,1.0,0.05
Brexit negotiations and the UK leaving the EU,2,1.0,0.1
Brexit negotiations and the UK leaving the EU,3,1.0,0.15
Brexit negotiations and the UK leaving the EU,4,1.0,0.2
Brexit negotiations and the UK leaving the EU,5,1.0,0.25
Brexit negotiations and the UK leaving the EU,6,1.0,0.3
Brexit negotiations and the UK leaving the EU,7,1.0,0.35
Brexit negotiations and the UK leaving the EU,8,1.0,0.4
Brexit negotiations and the UK leaving the EU,9,1.0,0.45
Brexit negotiations and the UK leaving the EU,10,1.0,0.5
Brexit negotiations and the UK leaving the EU,11,1.0,0.55
Brexit negotiations and the UK leaving the EU,12,1.0,0.6
Brexit negotiations and the UK leaving the EU,13,1.0,0.65
Brexit negotiations and the UK leaving the EU,14,1.0,0.7
Brexit negotiations and the UK leaving the EU,15,1.0,0.75
Brexit negotiations and the UK leaving the EU,16,1.0,0.8
Brexit negotiations and the UK leaving the EU,17,1.0,0.85
Brexit negotiations and the UK leaving the EU,18,1.0,0.9
Brexit negotiations and the UK leaving the EU,19,1.0,0.95
Brexit negotiations and the UK leaving the EU,20,1.0,1.0
mental health during quarantine and isolation,1,1.0,0.333333
mental health during quarantine and isolation,2,0.5,0.333333
mental health during quarantine and isolation,3,0.333333,0.333333
mental health during quarantine and isolation,4,0.25,0.333333
mental health during quarantine and isolation,5,0.2,0.333333
mental health during quarantine and isolation,6,0.166667,0.333333
mental health during quarantine and isolation,7,0.142857,0.333333
mental health during quarantine and isolation,8,0.125,0.333333
mental health during quarantine and isolation,9,0.111111,0.333333
mental health during quarantine and isolation,10,0.1,0.333333
mental health during quarantine and isolation,11,0.181818,0.666667
mental health during quarantine and isolation,12,0.166667,0.666667
mental health during quarantine and isolation,13,0.153846,0.666667
mental health during quarantine and isolation,14,0.142857,0.666667
mental health during quarantine and isolation,15,0.133333,0.666667
mental health during quarantine and isolation,16,0.1875,1.0
mental health during quarantine and isolation,17,0.176471,1.0
mental health during quarantine and isolation,18,0.166667,1.0
mental health during quarantine and isolation,19,0.157895,1.0
mental health during quarantine and isolation,20,0.15,1.0
remote work and the future of the office,1,1.0,0.05
remote work and the future of the office,2,1.0,0.1
remote work and the future of the office,3,1.0,0.15
remote work and the future of the office,4,1.0,0.2
remote work and the future of the office,5,1.0,0.25
remote work and the future of the office,6,1.0,0.3
remote work and the future of the office,7,1.0,0.35
remote work and the future of the office,8,1.0,0.4
remote work and the future of the office,9,1.0,0.45
remote work and the future of the office,10,1.0,0.5
remote work and the future of the office,11,1.0,0.55
remote work and the future of the office,12,1.0,0.6
remote work and the future of the office,13,1.0,0.65
remote work and the future of the office,14,1.0,0.7
remote work and the future of the office,15,1.0,0.75
remote work and the future of the office,16,1.0,0.8
remote work and the future of the office,17,1.0,0.85
remote work and the future of the office,18,1.0,0.9
remote work and the future of the office,19,1.0,0.95
remote work and the future of the office,20,1.0,1.0
stock market crash and economic recession 2020,1,1.0,0.076923
stock market crash and economic recession 2020,2,1.0,0.153846
stock market crash and economic recession 2020,3,0.666667,0.153846
stock market crash and economic recession 2020,4,0.75,0.230769
stock market crash and economic recession 2020,5,0.6,0.230769
stock market crash and economic recession 2020,6,0.666667,0.307692
stock market crash and economic recession 2020,7,0.714286,0.384615
stock market crash and economic recession 2020,8,0.625,0.384615
stock market crash and economic recession 2020,9,0.555556,0.384615
stock market crash and economic recession 2020,10,0.6,0.461538
stock market crash and economic recession 2020,11,0.545455,0.461538
stock market crash and economic recession 2020,12,0.583333,0.538462
stock market crash and economic recession 2020,13,0.615385,0.615385
stock market crash and economic recession 2020,14,0.642857,0.692308
stock market crash and economic recession 2020,15,0.6,0.692308
stock market crash and economic recession 2020,16,0.625,0.769231
stock market crash and economic recession 2020,17,0.647059,0.846154
stock market crash and economic recession 2020,18,0.611111,0.846154
stock market crash and economic recession 2020,19,0.631579,0.923077
stock market crash and economic recession 2020,20,0.65,1.0
artificial intelligence and machine learning breakthroughs,1,1.0,0.058824
artificial intelligence and machine learning breakthroughs,2,1.0,0.117647
artificial intelligence and machine learning breakthroughs,3,1.0,0.176471
artificial intelligence and machine learning breakthroughs,4,1.0,0.235294
artificial intelligence and machine learning breakthroughs,5,1.0,0.294118
artificial intelligence and machine learning breakthroughs,6,1.0,0.352941
artificial intelligence and machine learning breakthroughs,7,1.0,0.411765
artificial intelligence and machine learning breakthroughs,8,0.875,0.411765
artificial intelligence and machine learning breakthroughs,9,0.888889,0.470588
artificial intelligence and machine learning breakthroughs,10,0.9,0.529412
artificial intelligence and machine learning breakthroughs,11,0.818182,0.529412
artificial intelligence and machine learning breakthroughs,12,0.833333,0.588235
artificial intelligence and machine learning breakthroughs,13,0.846154,0.647059
artificial intelligence and machine learning breakthroughs,14,0.857143,0.705882
artificial intelligence and machine learning breakthroughs,15,0.866667,0.764706
artificial intelligence and machine learning breakthroughs,16,0.875,0.823529
artificial intelligence and machine learning breakthroughs,17,0.882353,0.882353
artificial intelligence and machine learning breakthroughs,18,0.888889,0.941176
artificial intelligence and machine learning breakthroughs,19,0.894737,1.0
artificial intelligence and machine learning breakthroughs,20,0.85,1.0
mRNA vaccines and the future of medicine,1,0.0,0.0
