model,asym_hit1,asym_hit3,asym_mrr,asym_correct_sim,asym_distractor_sim,asym_separation,sym_hit1,sym_hit3,sym_mrr,sym_correct_sim,sym_distractor_sim,sym_separation,sep_delta_asym_vs_sym,encode_seconds
BAAI/bge-small-en-v1.5,1.0000,1.0000,1.0000,0.6673,0.4963,0.1709,0.9500,1.0000,0.9750,0.6708,0.4958,0.1750,-0.0041,0.95
sentence-transformers/all-mpnet-base-v2,1.0000,1.0000,1.0000,0.4640,0.0992,0.3649,1.0000,1.0000,1.0000,0.4640,0.0992,0.3649,+0.0000,1.30
Qwen/Qwen3-Embedding-0.6B,1.0000,1.0000,1.0000,0.5071,0.2728,0.2344,1.0000,1.0000,1.0000,0.5008,0.2787,0.2222,+0.0122,4.20
BAAI/bge-large-en-v1.5,0.9500,1.0000,0.9750,0.6053,0.4237,0.1816,0.9500,1.0000,0.9750,0.6500,0.4648,0.1852,-0.0036,2.64
BAAI/bge-m3,0.9500,1.0000,0.9750,0.5617,0.3989,0.1629,0.9500,1.0000,0.9750,0.5617,0.3989,0.1629,+0.0000,3.04
nomic-ai/nomic-embed-text-v1.5,0.9500,1.0000,0.9750,0.6226,0.4495,0.1731,0.9500,1.0000,0.9750,0.5706,0.3544,0.2162,-0.0431,1.59
mixedbread-ai/mxbai-embed-large-v1,0.9500,1.0000,0.9750,0.6536,0.4131,0.2406,0.9500,1.0000,0.9750,0.6554,0.4166,0.2388,+0.0018,1.85
intfloat/multilingual-e5-small,0.9500,0.9500,0.9625,0.8261,0.7802,0.0459,0.8500,1.0000,0.9250,0.8280,0.7880,0.0400,+0.0058,0.75
sentence-transformers/all-MiniLM-L6-v2,0.9000,0.9500,0.9350,0.3610,0.0886,0.2724,0.9000,0.9500,0.9350,0.3610,0.0886,0.2724,+0.0000,0.40
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.7500,0.9000,0.8313,0.3831,0.1054,0.2777,0.7500,0.9000,0.8313,0.3831,0.1054,0.2777,+0.0000,0.73
microsoft/harrier-oss-v1-270m,0.5500,1.0000,0.7167,0.5071,0.3324,0.1748,0.5500,1.0000,0.7167,0.5071,0.3324,0.1748,+0.0000,3.17
cointegrated/rubert-tiny2,0.3500,0.6500,0.5388,0.5208,0.4912,0.0296,0.3500,0.6500,0.5388,0.5208,0.4912,0.0296,+0.0000,0.32
